Student_ID,Q1_Age_Group,Q2_Year_of_Study,Q3_Field_of_Study,Q4_Platform,Q5_Course_Type,Q6_Course_Duration,Q7_Daily_Study_Time,Q8_Weekly_Study_Days,Q9_Study_Schedule_Regularity,Q10_Time_Management_Rating,Q11_Assignment_Completion,Q12_Video_Watching_Freq,Q13_Forum_Participation,Q14_Break_Frequency,Q15_Course_Difficulty,Q16_Motivation_Level,Q17_Internet_Quality,Q18_Main_Device,Q19_Course_Completed,Q20_Dropout_Reason,Q21_Overall_Satisfaction,Q22_Future_Course_Likelihood
STU_10030,18–20,4th Year,Science,edX,Programming / Technology,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Often,Rarely,Easy,2,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10031,18–20,2nd Year,Science,Coursera,Other,Less than 2 weeks,Less than 30 minutes,2–3 days,3,1,Rarely,Rarely,Rarely,Sometimes,Very Easy,2,Very Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10032,18–20,3rd Year,Computer Science / IT,Coursera,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,2–3 days,4,5,Rarely,Always,Sometimes,Often,Very Difficult,2,Poor,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10033,Above 26,4th Year,Science,Coursera,Language Learning,2–4 weeks,30 minutes–1 hour,Every day,3,2,Always,Sometimes,Often,Sometimes,Easy,5,Poor,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10034,21–23,Postgraduate,Computer Science / IT,LinkedIn Learning,Language Learning,3–6 months,2–3 hours,4–5 days,2,4,Sometimes,Almost Always,Very Often,Rarely,Difficult,3,Poor,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10035,Above 26,Postgraduate,Business / Management,LinkedIn Learning,Academic Subject,More than 6 months,More than 3 hours,Every day,5,5,Always,Always,Very Often,Very Often,Very Difficult,5,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10036,Above 26,Other,Other,Other,Artificial Intelligence / Data Science,3–6 months,2–3 hours,Every day,1,4,Always,Almost Always,Not Available in My Course,Never,Difficult,5,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10037,Above 26,Postgraduate,Computer Science / IT,YouTube,Artificial Intelligence / Data Science,1–3 months,1–2 hours,Every day,2,3,Always,Often,Very Often,Rarely,Moderate,5,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10038,Below 18,Postgraduate,Business / Management,YouTube,Language Learning,1–3 months,1–2 hours,1 day,4,3,Never,Often,Very Often,Often,Moderate,1,Average,Desktop,No,Course content did not meet expectations,2,Probably No
STU_10039,24–26,3rd Year,Business / Management,Udemy,Business / Management,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Sometimes,Sometimes,Very Difficult,4,Average,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10040,Below 18,Other,Engineering,LinkedIn Learning,Artificial Intelligence / Data Science,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Not Available in My Course,Never,Very Easy,1,Poor,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10041,Below 18,3rd Year,Computer Science / IT,NPTEL,Programming / Technology,More than 6 months,More than 3 hours,1 day,2,5,Never,Always,Sometimes,Rarely,Very Difficult,1,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10042,18–20,1st Year,Computer Science / IT,YouTube,Personal Development,More than 6 months,More than 3 hours,2–3 days,4,5,Rarely,Always,Never,Often,Very Difficult,2,Poor,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10043,Below 18,1st Year,Business / Management,YouTube,Other,1–3 months,1–2 hours,1 day,4,3,Never,Often,Never,Often,Moderate,1,Average,Smartphone,No,Lack of interest,2,Probably No
STU_10044,24–26,3rd Year,Computer Science / IT,Other,Language Learning,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Sometimes,Sometimes,Very Difficult,4,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10045,Above 26,3rd Year,Business / Management,YouTube,Language Learning,More than 6 months,More than 3 hours,Every day,5,5,Always,Always,Sometimes,Very Often,Very Difficult,5,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10046,Below 18,2nd Year,Science,LinkedIn Learning,Other,More than 6 months,More than 3 hours,1 day,2,5,Never,Always,Rarely,Rarely,Very Difficult,1,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10047,Above 26,Other,Science,Other,Business / Management,1–3 months,1–2 hours,Every day,2,3,Always,Often,Not Available in My Course,Rarely,Moderate,5,Very Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10048,21–23,2nd Year,Engineering,edX,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Rarely,Never,Very Difficult,3,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10049,24–26,4th Year,Other,Udemy,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Often,Sometimes,Very Difficult,4,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10050,24–26,4th Year,Engineering,LinkedIn Learning,Programming / Technology,3–6 months,2–3 hours,6 days,4,4,Often,Almost Always,Often,Often,Difficult,4,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10051,Above 26,3rd Year,Business / Management,NPTEL,Other,3–6 months,2–3 hours,Every day,1,4,Always,Almost Always,Sometimes,Never,Difficult,5,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10052,Above 26,3rd Year,Arts / Humanities,LinkedIn Learning,Personal Development,1–3 months,1–2 hours,Every day,2,3,Always,Often,Sometimes,Rarely,Moderate,5,Very Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10053,24–26,Other,Science,Udemy,Business / Management,Less than 2 weeks,Less than 30 minutes,6 days,2,1,Often,Rarely,Not Available in My Course,Rarely,Very Easy,4,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10054,Above 26,2nd Year,Engineering,Coursera,Language Learning,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Rarely,Often,Very Easy,5,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10055,18–20,Other,Engineering,Udemy,Other,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Not Available in My Course,Rarely,Easy,2,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10056,Above 26,4th Year,Engineering,NPTEL,Business / Management,3–6 months,2–3 hours,Every day,1,4,Always,Almost Always,Often,Never,Difficult,5,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10057,21–23,4th Year,Science,NPTEL,Personal Development,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Often,Very Often,Very Easy,3,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10058,Below 18,1st Year,Business / Management,YouTube,Artificial Intelligence / Data Science,1–3 months,1–2 hours,1 day,4,3,Never,Often,Never,Often,Moderate,1,Average,Smartphone,No,Course was too difficult,2,Probably No
STU_10059,18–20,1st Year,Arts / Humanities,Udemy,Programming / Technology,1–3 months,1–2 hours,2–3 days,1,3,Rarely,Often,Never,Never,Moderate,2,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10060,Below 18,3rd Year,Business / Management,YouTube,Academic Subject,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Sometimes,Never,Very Easy,1,Poor,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10061,24–26,3rd Year,Arts / Humanities,LinkedIn Learning,Artificial Intelligence / Data Science,1–3 months,1–2 hours,6 days,5,3,Often,Often,Sometimes,Very Often,Moderate,4,Poor,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10062,Below 18,Other,Science,YouTube,Business / Management,3–6 months,2–3 hours,1 day,3,4,Never,Almost Always,Not Available in My Course,Sometimes,Difficult,1,Excellent,Laptop,No,Course content did not meet expectations,2,Probably No
STU_10063,18–20,Other,Other,Coursera,Programming / Technology,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Not Available in My Course,Very Often,Difficult,2,Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10064,18–20,2nd Year,Science,Other,Artificial Intelligence / Data Science,1–3 months,1–2 hours,2–3 days,1,3,Rarely,Often,Rarely,Never,Moderate,2,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10065,Below 18,Other,Science,Udemy,Academic Subject,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Not Available in My Course,Never,Very Easy,1,Poor,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10066,Above 26,3rd Year,Business / Management,edX,Business / Management,3–6 months,2–3 hours,Every day,1,4,Always,Almost Always,Sometimes,Never,Difficult,5,Average,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10067,Above 26,1st Year,Business / Management,NPTEL,Language Learning,1–3 months,1–2 hours,Every day,2,3,Always,Often,Never,Rarely,Moderate,5,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10068,18–20,Postgraduate,Business / Management,Other,Business / Management,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Very Often,Very Often,Difficult,2,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10069,Below 18,1st Year,Computer Science / IT,edX,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,1 day,5,2,Never,Sometimes,Never,Very Often,Easy,1,Very Good,Smartphone,No,Academic or work commitments,2,Probably No
STU_10070,24–26,2nd Year,Science,Udemy,Artificial Intelligence / Data Science,3–6 months,2–3 hours,6 days,4,4,Often,Almost Always,Rarely,Often,Difficult,4,Very Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10071,21–23,Other,Science,Other,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Not Available in My Course,Often,Easy,3,Excellent,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10072,Below 18,4th Year,Science,LinkedIn Learning,Business / Management,3–6 months,2–3 hours,1 day,3,4,Never,Almost Always,Often,Sometimes,Difficult,1,Excellent,Tablet,No,Lack of time,2,Probably No
STU_10073,21–23,4th Year,Other,Other,Academic Subject,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Often,Never,Very Difficult,3,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10074,Above 26,4th Year,Engineering,YouTube,Academic Subject,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Often,Often,Very Easy,5,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10075,18–20,Postgraduate,Arts / Humanities,edX,Other,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Very Often,Rarely,Easy,2,Average,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10076,21–23,4th Year,Other,NPTEL,Programming / Technology,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Often,Often,Easy,3,Excellent,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10077,21–23,2nd Year,Other,Udemy,Artificial Intelligence / Data Science,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Rarely,Very Often,Very Easy,3,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10078,18–20,Postgraduate,Arts / Humanities,edX,Academic Subject,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Very Often,Very Often,Difficult,2,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10079,24–26,Other,Engineering,LinkedIn Learning,Business / Management,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Not Available in My Course,Sometimes,Very Difficult,4,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10080,24–26,Postgraduate,Business / Management,Udemy,Programming / Technology,3–6 months,2–3 hours,6 days,4,4,Often,Almost Always,Very Often,Often,Difficult,4,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10081,Below 18,3rd Year,Business / Management,LinkedIn Learning,Other,More than 6 months,More than 3 hours,1 day,2,5,Never,Always,Sometimes,Rarely,Very Difficult,1,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10082,Below 18,Postgraduate,Computer Science / IT,NPTEL,Academic Subject,3–6 months,2–3 hours,1 day,3,4,Never,Almost Always,Very Often,Sometimes,Difficult,1,Excellent,Smartphone,No,Course was too difficult,2,Probably No
STU_10083,21–23,Postgraduate,Business / Management,NPTEL,Programming / Technology,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Very Often,Never,Very Difficult,3,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10084,24–26,Other,Other,Udemy,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Not Available in My Course,Sometimes,Very Difficult,4,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10085,24–26,4th Year,Other,YouTube,Other,3–6 months,2–3 hours,6 days,4,4,Often,Almost Always,Often,Often,Difficult,4,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10086,18–20,1st Year,Arts / Humanities,Udemy,Academic Subject,Less than 2 weeks,Less than 30 minutes,2–3 days,3,1,Rarely,Rarely,Never,Sometimes,Very Easy,2,Very Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10087,18–20,Postgraduate,Arts / Humanities,Coursera,Other,More than 6 months,More than 3 hours,2–3 days,4,5,Rarely,Always,Very Often,Often,Very Difficult,2,Poor,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10088,Below 18,1st Year,Business / Management,YouTube,Academic Subject,1–3 months,1–2 hours,1 day,4,3,Never,Often,Never,Often,Moderate,1,Average,Smartphone,No,Lack of time,2,Probably No
STU_10089,Above 26,Other,Science,Udemy,Personal Development,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Not Available in My Course,Often,Very Easy,5,Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10090,Below 18,Postgraduate,Arts / Humanities,LinkedIn Learning,Language Learning,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Very Often,Never,Very Easy,1,Poor,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10091,18–20,2nd Year,Science,edX,Language Learning,Less than 2 weeks,Less than 30 minutes,2–3 days,3,1,Rarely,Rarely,Rarely,Sometimes,Very Easy,2,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10092,21–23,2nd Year,Other,edX,Academic Subject,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Rarely,Very Often,Very Easy,3,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10093,Above 26,Postgraduate,Arts / Humanities,edX,Programming / Technology,2–4 weeks,30 minutes–1 hour,Every day,3,2,Always,Sometimes,Very Often,Sometimes,Easy,5,Poor,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10094,21–23,3rd Year,Arts / Humanities,Other,Academic Subject,3–6 months,2–3 hours,4–5 days,2,4,Sometimes,Almost Always,Sometimes,Rarely,Difficult,3,Poor,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10095,24–26,1st Year,Arts / Humanities,Other,Programming / Technology,3–6 months,2–3 hours,6 days,4,4,Often,Almost Always,Never,Often,Difficult,4,Very Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10096,18–20,1st Year,Computer Science / IT,Udemy,Personal Development,Less than 2 weeks,Less than 30 minutes,2–3 days,3,1,Rarely,Rarely,Never,Sometimes,Very Easy,2,Very Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10097,21–23,Postgraduate,Computer Science / IT,Udemy,Other,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Very Often,Very Often,Very Easy,3,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10098,21–23,1st Year,Arts / Humanities,edX,Language Learning,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Never,Never,Very Difficult,3,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10099,Above 26,Postgraduate,Arts / Humanities,edX,Academic Subject,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Very Often,Often,Very Easy,5,Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10100,18–20,Other,Engineering,YouTube,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Not Available in My Course,Rarely,Easy,2,Average,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10101,Below 18,Postgraduate,Business / Management,Coursera,Other,More than 6 months,More than 3 hours,1 day,2,5,Never,Always,Very Often,Rarely,Very Difficult,1,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10102,24–26,1st Year,Computer Science / IT,Other,Programming / Technology,2–4 weeks,30 minutes–1 hour,6 days,1,2,Often,Sometimes,Never,Never,Easy,4,Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10103,18–20,Other,Engineering,Udemy,Personal Development,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Not Available in My Course,Very Often,Difficult,2,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10104,24–26,4th Year,Engineering,Udemy,Other,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Often,Sometimes,Very Difficult,4,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10105,21–23,1st Year,Computer Science / IT,NPTEL,Business / Management,1–3 months,1–2 hours,4–5 days,3,3,Sometimes,Often,Never,Sometimes,Moderate,3,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10106,Below 18,4th Year,Other,Coursera,Business / Management,More than 6 months,More than 3 hours,1 day,2,5,Never,Always,Often,Rarely,Very Difficult,1,Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10107,Above 26,Postgraduate,Business / Management,YouTube,Artificial Intelligence / Data Science,1–3 months,1–2 hours,Every day,2,3,Always,Often,Very Often,Rarely,Moderate,5,Very Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10108,24–26,1st Year,Computer Science / IT,Udemy,Programming / Technology,Less than 2 weeks,Less than 30 minutes,6 days,2,1,Often,Rarely,Never,Rarely,Very Easy,4,Excellent,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10109,18–20,Postgraduate,Computer Science / IT,Other,Programming / Technology,1–3 months,1–2 hours,2–3 days,1,3,Rarely,Often,Very Often,Never,Moderate,2,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10110,21–23,Postgraduate,Business / Management,Other,Business / Management,1–3 months,1–2 hours,4–5 days,3,3,Sometimes,Often,Very Often,Sometimes,Moderate,3,Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10111,21–23,4th Year,Science,edX,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Often,Often,Easy,3,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10112,24–26,2nd Year,Science,Coursera,Programming / Technology,2–4 weeks,30 minutes–1 hour,6 days,1,2,Often,Sometimes,Rarely,Never,Easy,4,Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10113,21–23,3rd Year,Computer Science / IT,Udemy,Language Learning,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Sometimes,Never,Very Difficult,3,Very Good,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10114,24–26,1st Year,Computer Science / IT,Udemy,Academic Subject,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Never,Sometimes,Very Difficult,4,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10115,Below 18,4th Year,Other,YouTube,Language Learning,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Often,Never,Very Easy,1,Poor,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10116,21–23,Postgraduate,Business / Management,Udemy,Business / Management,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Very Often,Often,Easy,3,Excellent,Smartphone,Yes,I completed the course,4,Definitely Yes
